M_L,M_S,Number of States,States
-2,-0.5,1,(-2-)
-2,0.5,1,(-2+)
-1,-0.5,1,(-1-)
-1,0.5,1,(-1+)
0,-0.5,1,(0-)
0,0.5,1,(0+)
1,-0.5,1,(1-)
1,0.5,1,(1+)
2,-0.5,1,(2-)
2,0.5,1,(2+)
