M_L,M_S,Number of States,States
-12,0.0,49,"(-4+, -4-, -3+, -3-, -2+, 4-)
(-4+, -4-, -3+, -3-, -2-, 4+)
(-4+, -4-, -3+, -3-, -1+, 3-)
(-4+, -4-, -3+, -3-, -1-, 3+)
(-4+, -4-, -3+, -3-, 0+, 2-)
(-4+, -4-, -3+, -3-, 0-, 2+)
(-4+, -4-, -3+, -3-, 1+, 1-)
(-4+, -4-, -3+, -2+, -2-, 3-)
(-4+, -4-, -3+, -2+, -1-, 2-)
(-4+, -4-, -3+, -2+, 0-, 1-)
(-4+, -4-, -3+, -2-, -1+, 2-)
(-4+, -4-, -3+, -2-, -1-, 2+)
(-4+, -4-, -3+, -2-, 0+, 1-)
(-4+, -4-, -3+, -2-, 0-, 1+)
(-4+, -4-, -3+, -1+, -1-, 1-)
(-4+, -4-, -3+, -1-, 0+, 0-)
(-4+, -4-, -3-, -2+, -2-, 3+)
(-4+, -4-, -3-, -2+, -1+, 2-)
(-4+, -4-, -3-, -2+, -1-, 2+)
(-4+, -4-, -3-, -2+, 0+, 1-)
(-4+, -4-, -3-, -2+, 0-, 1+)
(-4+, -4-, -3-, -2-, -1+, 2+)
(-4+, -4-, -3-, -2-, 0+, 1+)
(-4+, -4-, -3-, -1+, -1-, 1+)
(-4+, -4-, -3-, -1+, 0+, 0-)
(-4+, -4-, -2+, -2-, -1+, 1-)
(-4+, -4-, -2+, -2-, -1-, 1+)
(-4+, -4-, -2+, -2-, 0+, 0-)
(-4+, -4-, -2+, -1+, -1-, 0-)
(-4+, -4-, -2-, -1+, -1-, 0+)
(-4+, -3+, -3-, -2+, -2-, 2-)
(-4+, -3+, -3-, -2+, -1-, 1-)
(-4+, -3+, -3-, -2-, -1+, 1-)
(-4+, -3+, -3-, -2-, -1-, 1+)
(-4+, -3+, -3-, -2-, 0+, 0-)
(-4+, -3+, -3-, -1+, -1-, 0-)
(-4+, -3+, -2+, -2-, -1-, 0-)
(-4+, -3-, -2+, -2-, -1+, 0-)
(-4+, -3-, -2+, -2-, -1-, 0+)
(-4-, -3+, -3-, -2+, -2-, 2+)
(-4-, -3+, -3-, -2+, -1+, 1-)
(-4-, -3+, -3-, -2+, -1-, 1+)
(-4-, -3+, -3-, -2+, 0+, 0-)
(-4-, -3+, -3-, -2-, -1+, 1+)
(-4-, -3+, -3-, -1+, -1-, 0+)
(-4-, -3+, -2+, -2-, -1+, 0-)
(-4-, -3+, -2+, -2-, -1-, 0+)
(-4-, -3-, -2+, -2-, -1+, 0+)
(-3+, -3-, -2+, -2-, -1+, -1-)"
-12,1.0,27,"(-4+, -4-, -3+, -3-, -2+, 4+)
(-4+, -4-, -3+, -3-, -1+, 3+)
(-4+, -4-, -3+, -3-, 0+, 2+)
(-4+, -4-, -3+, -2+, -2-, 3+)
(-4+, -4-, -3+, -2+, -1+, 2-)
(-4+, -4-, -3+, -2+, -1-, 2+)
(-4+, -4-, -3+, -2+, 0+, 1-)
(-4+, -4-, -3+, -2+, 0-, 1+)
(-4+, -4-, -3+, -2-, -1+, 2+)
(-4+, -4-, -3+, -2-, 0+, 1+)
(-4+, -4-, -3+, -1+, -1-, 1+)
(-4+, -4-, -3+, -1+, 0+, 0-)
(-4+, -4-, -3-, -2+, -1+, 2+)
(-4+, -4-, -3-, -2+, 0+, 1+)
(-4+, -4-, -2+, -2-, -1+, 1+)
(-4+, -4-, -2+, -1+, -1-, 0+)
(-4+, -3+, -3-, -2+, -2-, 2+)
(-4+, -3+, -3-, -2+, -1+, 1-)
(-4+, -3+, -3-, -2+, -1-, 1+)
(-4+, -3+, -3-, -2+, 0+, 0-)
(-4+, -3+, -3-, -2-, -1+, 1+)
(-4+, -3+, -3-, -1+, -1-, 0+)
(-4+, -3+, -2+, -2-, -1+, 0-)
(-4+, -3+, -2+, -2-, -1-, 0+)
(-4+, -3-, -2+, -2-, -1+, 0+)
(-4-, -3+, -3-, -2+, -1+, 1+)
(-4-, -3+, -2+, -2-, -1+, 0+)"
-12,2.0,4,"(-4+, -4-, -3+, -2+, -1+, 2+)
(-4+, -4-, -3+, -2+, 0+, 1+)
(-4+, -3+, -3-, -2+, -1+, 1+)
(-4+, -3+, -2+, -2-, -1+, 0+)"
-11,-2.0,7,"(-4+, -4-, -3-, -2-, -1-, 3-)
(-4+, -4-, -3-, -2-, 0-, 2-)
(-4+, -4-, -3-, -1-, 0-, 1-)
(-4-, -3+, -3-, -2-, -1-, 2-)
(-4-, -3+, -3-, -2-, 0-, 1-)
(-4-, -3-, -2+, -2-, -1-, 1-)
(-4-, -3-, -2-, -1+, -1-, 0-)"
-11,-1.0,43,"(-4+, -4-, -3+, -3-, -1-, 4-)
(-4+, -4-, -3+, -3-, 0-, 3-)
(-4+, -4-, -3+, -3-, 1-, 2-)
(-4+, -4-, -3+, -2-, -1-, 3-)
(-4+, -4-, -3+, -2-, 0-, 2-)
(-4+, -4-, -3+, -1-, 0-, 1-)
(-4+, -4-, -3-, -2+, -2-, 4-)
(-4+, -4-, -3-, -2+, -1-, 3-)
(-4+, -4-, -3-, -2+, 0-, 2-)
(-4+, -4-, -3-, -2-, -1+, 3-)
(-4+, -4-, -3-, -2-, -1-, 3+)
(-4+, -4-, -3-, -2-, 0+, 2-)
(-4+, -4-, -3-, -2-, 0-, 2+)
(-4+, -4-, -3-, -2-, 1+, 1-)
(-4+, -4-, -3-, -1+, -1-, 2-)
(-4+, -4-, -3-, -1+, 0-, 1-)
(-4+, -4-, -3-, -1-, 0+, 1-)
(-4+, -4-, -3-, -1-, 0-, 1+)
(-4+, -4-, -2+, -2-, -1-, 2-)
(-4+, -4-, -2+, -2-, 0-, 1-)
(-4+, -4-, -2-, -1+, -1-, 1-)
(-4+, -4-, -2-, -1-, 0+, 0-)
(-4+, -3+, -3-, -2-, -1-, 2-)
(-4+, -3+, -3-, -2-, 0-, 1-)
(-4+, -3-, -2+, -2-, -1-, 1-)
(-4+, -3-, -2-, -1+, -1-, 0-)
(-4-, -3+, -3-, -2+, -2-, 3-)
(-4-, -3+, -3-, -2+, -1-, 2-)
(-4-, -3+, -3-, -2+, 0-, 1-)
(-4-, -3+, -3-, -2-, -1+, 2-)
(-4-, -3+, -3-, -2-, -1-, 2+)
(-4-, -3+, -3-, -2-, 0+, 1-)
(-4-, -3+, -3-, -2-, 0-, 1+)
(-4-, -3+, -3-, -1+, -1-, 1-)
(-4-, -3+, -3-, -1-, 0+, 0-)
(-4-, -3+, -2+, -2-, -1-, 1-)
(-4-, -3+, -2-, -1+, -1-, 0-)
(-4-, -3-, -2+, -2-, -1+, 1-)
(-4-, -3-, -2+, -2-, -1-, 1+)
(-4-, -3-, -2+, -2-, 0+, 0-)
(-4-, -3-, -2+, -1+, -1-, 0-)
(-4-, -3-, -2-, -1+, -1-, 0+)
(-3+, -3-, -2+, -2-, -1-, 0-)"
-11,0.0,72,"(-4+, -4-, -3+, -3-, -1+, 4-)
(-4+, -4-, -3+, -3-, -1-, 4+)
(-4+, -4-, -3+, -3-, 0+, 3-)
(-4+, -4-, -3+, -3-, 0-, 3+)
(-4+, -4-, -3+, -3-, 1+, 2-)
(-4+, -4-, -3+, -3-, 1-, 2+)
(-4+, -4-, -3+, -2+, -2-, 4-)
(-4+, -4-, -3+, -2+, -1-, 3-)
(-4+, -4-, -3+, -2+, 0-, 2-)
(-4+, -4-, -3+, -2-, -1+, 3-)
(-4+, -4-, -3+, -2-, -1-, 3+)
(-4+, -4-, -3+, -2-, 0+, 2-)
(-4+, -4-, -3+, -2-, 0-, 2+)
(-4+, -4-, -3+, -2-, 1+, 1-)
(-4+, -4-, -3+, -1+, -1-, 2-)
(-4+, -4-, -3+, -1+, 0-, 1-)
(-4+, -4-, -3+, -1-, 0+, 1-)
(-4+, -4-, -3+, -1-, 0-, 1+)
(-4+, -4-, -3-, -2+, -2-, 4+)
(-4+, -4-, -3-, -2+, -1+, 3-)
(-4+, -4-, -3-, -2+, -1-, 3+)
(-4+, -4-, -3-, -2+, 0+, 2-)
(-4+, -4-, -3-, -2+, 0-, 2+)
(-4+, -4-, -3-, -2+, 1+, 1-)
(-4+, -4-, -3-, -2-, -1+, 3+)
(-4+, -4-, -3-, -2-, 0+, 2+)
(-4+, -4-, -3-, -1+, -1-, 2+)
(-4+, -4-, -3-, -1+, 0+, 1-)
(-4+, -4-, -3-, -1+, 0-, 1+)
(-4+, -4-, -3-, -1-, 0+, 1+)
(-4+, -4-, -2+, -2-, -1+, 2-)
(-4+, -4-, -2+, -2-, -1-, 2+)
(-4+, -4-, -2+, -2-, 0+, 1-)
(-4+, -4-, -2+, -2-, 0-, 1+)
(-4+, -4-, -2+, -1+, -1-, 1-)
(-4+, -4-, -2+, -1-, 0+, 0-)
(-4+, -4-, -2-, -1+, -1-, 1+)
(-4+, -4-, -2-, -1+, 0+, 0-)
(-4+, -3+, -3-, -2+, -2-, 3-)
(-4+, -3+, -3-, -2+, -1-, 2-)
(-4+, -3+, -3-, -2+, 0-, 1-)
(-4+, -3+, -3-, -2-, -1+, 2-)
(-4+, -3+, -3-, -2-, -1-, 2+)
(-4+, -3+, -3-, -2-, 0+, 1-)
(-4+, -3+, -3-, -2-, 0-, 1+)
(-4+, -3+, -3-, -1+, -1-, 1-)
(-4+, -3+, -3-, -1-, 0+, 0-)
(-4+, -3+, -2+, -2-, -1-, 1-)
(-4+, -3+, -2-, -1+, -1-, 0-)
(-4+, -3-, -2+, -2-, -1+, 1-)
(-4+, -3-, -2+, -2-, -1-, 1+)
(-4+, -3-, -2+, -2-, 0+, 0-)
(-4+, -3-, -2+, -1+, -1-, 0-)
(-4+, -3-, -2-, -1+, -1-, 0+)
(-4-, -3+, -3-, -2+, -2-, 3+)
(-4-, -3+, -3-, -2+, -1+, 2-)
(-4-, -3+, -3-, -2+, -1-, 2+)
(-4-, -3+, -3-, -2+, 0+, 1-)
(-4-, -3+, -3-, -2+, 0-, 1+)
(-4-, -3+, -3-, -2-, -1+, 2+)
(-4-, -3+, -3-, -2-, 0+, 1+)
(-4-, -3+, -3-, -1+, -1-, 1+)
(-4-, -3+, -3-, -1+, 0+, 0-)
(-4-, -3+, -2+, -2-, -1+, 1-)
(-4-, -3+, -2+, -2-, -1-, 1+)
(-4-, -3+, -2+, -2-, 0+, 0-)
(-4-, -3+, -2+, -1+, -1-, 0-)
(-4-, -3+, -2-, -1+, -1-, 0+)
(-4-, -3-, -2+, -2-, -1+, 1+)
(-4-, -3-, -2+, -1+, -1-, 0+)
(-3+, -3-, -2+, -2-, -1+, 0-)
(-3+, -3-, -2+, -2-, -1-, 0+)"
-11,1.0,43,"(-4+, -4-, -3+, -3-, -1+, 4+)
(-4+, -4-, -3+, -3-, 0+, 3+)
(-4+, -4-, -3+, -3-, 1+, 2+)
(-4+, -4-, -3+, -2+, -2-, 4+)
(-4+, -4-, -3+, -2+, -1+, 3-)
(-4+, -4-, -3+, -2+, -1-, 3+)
(-4+, -4-, -3+, -2+, 0+, 2-)
(-4+, -4-, -3+, -2+, 0-, 2+)
(-4+, -4-, -3+, -2+, 1+, 1-)
(-4+, -4-, -3+, -2-, -1+, 3+)
(-4+, -4-, -3+, -2-, 0+, 2+)
(-4+, -4-, -3+, -1+, -1-, 2+)
(-4+, -4-, -3+, -1+, 0+, 1-)
(-4+, -4-, -3+, -1+, 0-, 1+)
(-4+, -4-, -3+, -1-, 0+, 1+)
(-4+, -4-, -3-, -2+, -1+, 3+)
(-4+, -4-, -3-, -2+, 0+, 2+)
(-4+, -4-, -3-, -1+, 0+, 1+)
(-4+, -4-, -2+, -2-, -1+, 2+)
(-4+, -4-, -2+, -2-, 0+, 1+)
(-4+, -4-, -2+, -1+, -1-, 1+)
(-4+, -4-, -2+, -1+, 0+, 0-)
(-4+, -3+, -3-, -2+, -2-, 3+)
(-4+, -3+, -3-, -2+, -1+, 2-)
(-4+, -3+, -3-, -2+, -1-, 2+)
(-4+, -3+, -3-, -2+, 0+, 1-)
(-4+, -3+, -3-, -2+, 0-, 1+)
(-4+, -3+, -3-, -2-, -1+, 2+)
(-4+, -3+, -3-, -2-, 0+, 1+)
(-4+, -3+, -3-, -1+, -1-, 1+)
(-4+, -3+, -3-, -1+, 0+, 0-)
(-4+, -3+, -2+, -2-, -1+, 1-)
(-4+, -3+, -2+, -2-, -1-, 1+)
(-4+, -3+, -2+, -2-, 0+, 0-)
(-4+, -3+, -2+, -1+, -1-, 0-)
(-4+, -3+, -2-, -1+, -1-, 0+)
(-4+, -3-, -2+, -2-, -1+, 1+)
(-4+, -3-, -2+, -1+, -1-, 0+)
(-4-, -3+, -3-, -2+, -1+, 2+)
(-4-, -3+, -3-, -2+, 0+, 1+)
(-4-, -3+, -2+, -2-, -1+, 1+)
(-4-, -3+, -2+, -1+, -1-, 0+)
(-3+, -3-, -2+, -2-, -1+, 0+)"
-11,2.0,7,"(-4+, -4-, -3+, -2+, -1+, 3+)
(-4+, -4-, -3+, -2+, 0+, 2+)
(-4+, -4-, -3+, -1+, 0+, 1+)
(-4+, -3+, -3-, -2+, -1+, 2+)
(-4+, -3+, -3-, -2+, 0+, 1+)
(-4+, -3+, -2+, -2-, -1+, 1+)
(-4+, -3+, -2+, -1+, -1-, 0+)"
-10,-2.0,12,"(-4+, -4-, -3-, -2-, -1-, 4-)
(-4+, -4-, -3-, -2-, 0-, 3-)
(-4+, -4-, -3-, -2-, 1-, 2-)
(-4+, -4-, -3-, -1-, 0-, 2-)
(-4+, -4-, -2-, -1-, 0-, 1-)
(-4-, -3+, -3-, -2-, -1-, 3-)
(-4-, -3+, -3-, -2-, 0-, 2-)
(-4-, -3+, -3-, -1-, 0-, 1-)
(-4-, -3-, -2+, -2-, -1-, 2-)
(-4-, -3-, -2+, -2-, 0-, 1-)
(-4-, -3-, -2-, -1+, -1-, 1-)
(-4-, -3-, -2-, -1-, 0+, 0-)"
-10,-1.0,62,"(-4+, -4-, -3+, -3-, 0-, 4-)
(-4+, -4-, -3+, -3-, 1-, 3-)
(-4+, -4-, -3+, -2-, -1-, 4-)
(-4+, -4-, -3+, -2-, 0-, 3-)
(-4+, -4-, -3+, -2-, 1-, 2-)
(-4+, -4-, -3+, -1-, 0-, 2-)
(-4+, -4-, -3-, -2+, -1-, 4-)
(-4+, -4-, -3-, -2+, 0-, 3-)
(-4+, -4-, -3-, -2+, 1-, 2-)
(-4+, -4-, -3-, -2-, -1+, 4-)
(-4+, -4-, -3-, -2-, -1-, 4+)
(-4+, -4-, -3-, -2-, 0+, 3-)
(-4+, -4-, -3-, -2-, 0-, 3+)
(-4+, -4-, -3-, -2-, 1+, 2-)
(-4+, -4-, -3-, -2-, 1-, 2+)
(-4+, -4-, -3-, -1+, -1-, 3-)
(-4+, -4-, -3-, -1+, 0-, 2-)
(-4+, -4-, -3-, -1-, 0+, 2-)
(-4+, -4-, -3-, -1-, 0-, 2+)
(-4+, -4-, -3-, -1-, 1+, 1-)
(-4+, -4-, -3-, 0+, 0-, 1-)
(-4+, -4-, -2+, -2-, -1-, 3-)
(-4+, -4-, -2+, -2-, 0-, 2-)
(-4+, -4-, -2+, -1-, 0-, 1-)
(-4+, -4-, -2-, -1+, -1-, 2-)
(-4+, -4-, -2-, -1+, 0-, 1-)
(-4+, -4-, -2-, -1-, 0+, 1-)
(-4+, -4-, -2-, -1-, 0-, 1+)
(-4+, -3+, -3-, -2-, -1-, 3-)
(-4+, -3+, -3-, -2-, 0-, 2-)
(-4+, -3+, -3-, -1-, 0-, 1-)
(-4+, -3-, -2+, -2-, -1-, 2-)
(-4+, -3-, -2+, -2-, 0-, 1-)
(-4+, -3-, -2-, -1+, -1-, 1-)
(-4+, -3-, -2-, -1-, 0+, 0-)
(-4-, -3+, -3-, -2+, -2-, 4-)
(-4-, -3+, -3-, -2+, -1-, 3-)
(-4-, -3+, -3-, -2+, 0-, 2-)
(-4-, -3+, -3-, -2-, -1+, 3-)
(-4-, -3+, -3-, -2-, -1-, 3+)
(-4-, -3+, -3-, -2-, 0+, 2-)
(-4-, -3+, -3-, -2-, 0-, 2+)
(-4-, -3+, -3-, -2-, 1+, 1-)
(-4-, -3+, -3-, -1+, -1-, 2-)
(-4-, -3+, -3-, -1+, 0-, 1-)
(-4-, -3+, -3-, -1-, 0+, 1-)
(-4-, -3+, -3-, -1-, 0-, 1+)
(-4-, -3+, -2+, -2-, -1-, 2-)
(-4-, -3+, -2+, -2-, 0-, 1-)
(-4-, -3+, -2-, -1+, -1-, 1-)
(-4-, -3+, -2-, -1-, 0+, 0-)
(-4-, -3-, -2+, -2-, -1+, 2-)
(-4-, -3-, -2+, -2-, -1-, 2+)
(-4-, -3-, -2+, -2-, 0+, 1-)
(-4-, -3-, -2+, -2-, 0-, 1+)
(-4-, -3-, -2+, -1+, -1-, 1-)
(-4-, -3-, -2+, -1-, 0+, 0-)
(-4-, -3-, -2-, -1+, -1-, 1+)
(-4-, -3-, -2-, -1+, 0+, 0-)
(-4-, -2+, -2-, -1+, -1-, 0-)
(-3+, -3-, -2+, -2-, -1-, 1-)
(-3+, -3-, -2-, -1+, -1-, 0-)"
